==Frequent itemsets (min_sup=1.0%)
[BLACK,N_GANG,Y_INFRACTION], 12.1419%
[MAX,Y_INFRACTION,Y_MENTAL_OBSV], 12.1419%
[MED,N_GANG,N_INFRACTION,N_MENTAL_OBSV], 12.1282%
[BLACK,MAX,Y_INFRACTION], 12.101%
[DE,N_MENTAL_OBSV,OTHER], 12.06%
[DE,MIN,N_GANG,Y_MENTAL_OBSV], 12.06%
[MED,N_GANG,OTHER], 11.9918%
[26-35,MED,N_GANG], 11.9236%
[BLACK,DE,MED,Y_MENTAL_OBSV], 11.9236%
[N_INFRACTION,N_MENTAL_OBSV,OTHER], 11.8281%
[36-45,BLACK,N_GANG], 11.7735%
[BLACK,DE,MIN], 11.7599%
[BLACK,MED,N_GANG,Y_MENTAL_OBSV], 11.719%
[26-35,DE,MED], 11.7053%
[Y_GANG,Y_MENTAL_OBSV], 11.6644%
[DE,MED,N_INFRACTION,N_MENTAL_OBSV], 11.4052%
[DE,MED,N_GANG,N_INFRACTION,Y_MENTAL_OBSV], 11.3779%
[26-35,BLACK,Y_MENTAL_OBSV], 11.3643%
[125.25], 11.3506%
[DE,N_GANG,OTHER,Y_MENTAL_OBSV], 11.3097%
[N_GANG,N_INFRACTION,N_MENTAL_OBSV,OTHER], 11.2551%
[N_MENTAL_OBSV,Y_INFRACTION], 11.1733%
[36-45,BLACK,DE], 11.1733%
[36-45,DE,N_GANG,Y_MENTAL_OBSV], 11.146%
[125.25,DE], 11.1323%
[36-45,MED], 11.0232%
[26-35,OTHER], 11.0232%
[BLACK,MAX,Y_MENTAL_OBSV], 10.9959%
[BLACK,DE,MIN,N_GANG], 10.9823%
[BLACK,DE,MED,N_GANG,N_INFRACTION], 10.955%
[DE,MED,Y_INFRACTION], 10.9413%
[DE,MED,OTHER], 10.9413%
[26-35,MAX], 10.9004%
[DE,N_GANG,N_MENTAL_OBSV,OTHER], 10.8731%
[DE,MIN,N_MENTAL_OBSV], 10.6958%
[DE,MAX,N_GANG], 10.6821%
[DE,Y_GANG,Y_INFRACTION], 10.6685%
[MIN,OTHER], 10.6548%
[26-35,DE,Y_INFRACTION], 10.6276%
[26-35,DE,N_MENTAL_OBSV], 10.6276%
[18-25,N_GANG], 10.5593%
[18-25,Y_INFRACTION], 10.5593%
[46-55,N_INFRACTION], 10.5457%
[MIN,N_GANG,OTHER], 10.4911%
[36-45,N_MENTAL_OBSV], 10.4775%
[26-35,N_GANG,N_MENTAL_OBSV], 10.4775%
[26-35,BLACK,N_INFRACTION], 10.3956%
[BLACK,Y_GANG,Y_INFRACTION], 10.3547%
[46-55,DE], 10.3274%
[BLACK,MED,N_MENTAL_OBSV], 10.3138%
[DE,MAX,Y_GANG], 10.3001%
[DE,MIN,N_INFRACTION,Y_MENTAL_OBSV], 10.3001%
[18-25,BLACK,DE], 10.2592%
[46-55,N_GANG,N_INFRACTION], 10.2319%
[26-35,BLACK,DE,N_GANG], 10.2183%
[DE,MIN,N_GANG,N_MENTAL_OBSV], 10.2183%
[26-35,N_INFRACTION,Y_MENTAL_OBSV], 10.2046%
[DE,MED,N_GANG,OTHER], 10.191%
[MED,N_GANG,Y_INFRACTION], 10.1501%
[26-35,DE,MED,N_GANG], 10.0955%
[BLACK,DE,N_GANG,Y_INFRACTION], 10.0682%
[BLACK,DE,MIN,N_INFRACTION], 10.0546%
[36-45,N_INFRACTION,Y_MENTAL_OBSV], 10.0409%
[DE,MAX,Y_INFRACTION,Y_MENTAL_OBSV], 10.0273%
[DE,MIN,N_GANG,N_INFRACTION,Y_MENTAL_OBSV], 9.9727%
[26-35,N_INFRACTION,N_MENTAL_OBSV], 9.9454%
[46-55,DE,N_GANG], 9.9181%
[BLACK,DE,MAX,Y_INFRACTION], 9.8909%
[DE,MIN,N_INFRACTION,N_MENTAL_OBSV], 9.8772%
[18-25,Y_MENTAL_OBSV], 9.8636%
[OTHER,Y_INFRACTION], 9.8636%
[MAX,Y_GANG,Y_INFRACTION], 9.8636%
[DE,MED,N_GANG,N_INFRACTION,N_MENTAL_OBSV], 9.809%
[BLACK,MAX,Y_GANG], 9.7817%
[BLACK,DE,N_GANG,N_INFRACTION,N_MENTAL_OBSV], 9.7681%
[36-45,MED,N_GANG], 9.7544%
[BLACK,DE,MED,N_GANG,Y_MENTAL_OBSV], 9.7271%
[18-25,N_MENTAL_OBSV], 9.6317%
[26-35,BLACK,DE,Y_MENTAL_OBSV], 9.6044%
[N_GANG,nan], 9.5634%
[26-35,N_GANG,OTHER], 9.5634%
[36-45,MIN], 9.5225%
[26-35,MED,N_INFRACTION], 9.5225%
[MIN,N_INFRACTION,OTHER], 9.4816%
[DE,MIN,N_GANG,N_INFRACTION,N_MENTAL_OBSV], 9.4407%
[36-45,BLACK,N_INFRACTION], 9.427%
[DE,Y_GANG,Y_MENTAL_OBSV], 9.3861%
[MIN,N_GANG,N_INFRACTION,OTHER], 9.3861%
[BLACK,DE,MIN,N_GANG,N_INFRACTION], 9.3861%
[N_INFRACTION,OTHER,Y_MENTAL_OBSV], 9.3724%
[36-45,N_GANG,N_MENTAL_OBSV], 9.3179%
[36-45,BLACK,DE,N_GANG], 9.3042%
[36-45,MIN,N_GANG], 9.2497%
[36-45,N_GANG,N_INFRACTION,Y_MENTAL_OBSV], 9.2497%
[DE,N_INFRACTION,N_MENTAL_OBSV,OTHER], 9.236%
[MAX,N_GANG,Y_MENTAL_OBSV], 9.1951%
[MED,N_INFRACTION,OTHER], 9.1405%
[N_MENTAL_OBSV,Y_GANG], 9.1269%
[26-35,DE,OTHER], 9.0859%
[36-45,BLACK,Y_MENTAL_OBSV], 9.0859%
[BLACK,DE,MAX,Y_MENTAL_OBSV], 9.0859%
[18-25,DE,N_GANG], 9.0041%
[36-45,DE,MED], 8.9768%
[26-35,Y_INFRACTION,Y_MENTAL_OBSV], 8.9495%
[18-25,N_INFRACTION], 8.9359%
[18-25,Y_GANG], 8.9359%
[BLACK,Y_GANG,Y_MENTAL_OBSV], 8.9222%
[26-35,DE,MAX], 8.9222%
